N_min: 700  N_max: 800   N_step: 10  N_toys: 5000
Execution time = 656.9711208343506s
N:   700   |   T0: 33.701202, Power: 0.855800
N:   710   |   T0: 33.726148, Power: 0.863200
N:   720   |   T0: 33.573413, Power: 0.874000
N:   730   |   T0: 33.629134, Power: 0.883200
N:   740   |   T0: 33.663127, Power: 0.891400
N:   750   |   T0: 33.695548, Power: 0.896800
N:   760   |   T0: 33.683916, Power: 0.906200
N:   770   |   T0: 33.712678, Power: 0.916800
N:   780   |   T0: 33.534087, Power: 0.922200
N:   790   |   T0: 33.565633, Power: 0.928800
